평점,리뷰
4.0,다른 질감과 배경이 보여주는 익숙할 수 있는 이야기
4.0,눈물 나게 만드는 야생의 육아.
4.0,가슴에서 들려오는 사랑과 연대의 목소리
3.5,"사랑스런 동물들과 사랑스런 로봇

사람이 아닌 로봇이었기에
가능한 이야기들

대자연은 너무 아름답고
그 속에 생활하는 동물들의 이야기도 아름답다"
4.5,와일드와 로봇이라는 이질적인 두단어의 조화
4.0,끝날 때 상영관 모든 사람들 손은 같은 위치에.... 킷코너 때문에 보러 갔다가 힘차게 날아올라서 다시한번 쎀 인투- 더 베이글에 대항하고 엉엉 울었다.
4.5,드림웍스에 대한 우려에 머리가 아닌 가슴으로 답해준다.
4.5,사랑에 대한 정의는 많지만 사랑에 두는 가치는 모두 같다는 것
5.0,아진짜ㅈㄴ슬퍼아
3.5,깨기 전 마지막 꿈결로 기억되리
3.5,입술 없이 들려주는 어떤 사랑 이야기
5.0,품위 있는 작별 인사
3.5,부족함을 찾기 힘든 영화
4.5,뻔하고.. 뻔하고 좋당. 클리셰가 클리셰인 이유
2.5,"영화 중간에 나오는 ost랑
브라이트애기가 노력하는 모습보면서
울어버림..
저렇게까지 열심히 해본적이 언젠가 싶고.. 😭
노래가사에 위로받다,,🥹"
5.0,굳이 로봇이어야 했을까?
3.0,we just make it up
3.0,"기본을 충실히 한다는 어려운 것을 해낼 때 찾아올 따스한 편안함.

-----
<와일드 로봇>의 주인공은 로봇 로즈. 로즈는 소유주의 명령만을 기다리고, 그 명령에 복종하도록 프로그래밍된 로봇이다. 그 외의 행위는 할 줄 모른다. 그래서 낯선 환경에 떨어진 로즈는 제기능을 하지 못하는 것처럼 보인다. 그러나 로즈는 인간이 아닌 동물들의 언어를 이해하기 위해 끝없이 오랜 시간을 가만히 들여다본다. 그리고 자신이 맡게 된 임무를 완수하기 위해 상처와 희생마저 기꺼이 감수하기도 한다. 그 결과 로즈의 내면에 새겨진 기계로서의 목적은 남을 해할 수 없도록 설계된 기본 설정과 함께, 스스로 배려와 사랑을 깨우치게 만들고 나아가 이를 주변에까지 전파하게 한다. 단순히 명령을 따르도록 프로그래밍된 기계적인 작동을 하는 로봇이, 인간의 손길이 없는 야생에 놓여서는, 그렇게 인간과 동떨어진 대상과 장소에서 가장 인간적이고 따스한 화합을 일궈낸다. 이 아이러니가 관객들에게 커다란 감동을 선사한다.

또 이러한 아이러니를 담은 우화가 감동적인 것은 인간으로서 그 기본적인 진정성을 지키는 것이야말로 가장 어려운 일이기 때문이기도 하다. 자신의 이익을 위해 인간성을 저버리는 모습, 약육강식이 당연하다고 여기는 분위기 속에서는 살아남기 위해 물들어버리기 쉽다. 그러나 로즈는 로봇으로서 주어진 목적과 설정을 벗어나지 않았다. 계절이 몇 번이나 흐르는 동안 그런 단단한 마음가짐을 흔들리지 않고 간직한 끝에 주변의 인정을 받고 선한 영향력을 발휘하며, 자신의 역할과 목적을 스스로 선택해낸다."
3.5,설정상 인간은 오히려 외부의 적인데도 이야기가 관객을 품는 힘이 대단하다.
3.0,"모든 건 변한다

하지만 그 변함이 있기에 아름답고

본래는 기억되기에 아름답다"
4.0,"감동은 있는데 너무 유아용.
로튼토마토 진짜 썩은듯, 믿을 게 못됨."
4.5,이 좋은 거짓말(영화)를 보게 되면 모든 종과 천적 관계를 초월한 사랑을 맺게 만드는 자연의 위대함을 깨닫게 된다
5.0,너무 울어서 머리 아파요
4.0,"디즈니 귓방맹이 지대로 때리는 드림웍스
예상가능한 스토리지만 연출과 음악으로
압살해버린다.
가족영화의 좋은예"
3.5,나도 오래도록 소중하게 지키고 싶은 것이 있었는데
3.5,오히려 인간이 없기에 느낄 수 있었던 따뜻한 사랑... 인간이 없는 세상이 더 나을 수도 있다는 가능성을 봤다.
3.5,"나도 내가 기러기 나는 거 보고 오열할 줄 몰랐어..
개감동"
3.5,상상력에 놀라다
3.5,집단과 정체성에 대한 이야기를 이토록 아름답고 몽글몽글하게
3.0,"놓을 수가 예상이 가서 눈물샘이 먼저 반응함
오전에 갔다가 눈탱이 밤탱이 돼서 나왔다
러닝타임은 긴데 너무 일찍부터 힘들게 하잖아 ㄱ-
예고편도 안보고 가서 제목이 '와일드 로봇'이고
절대 그럴 리가 없음에도 정적인 분위기일거라 예상했는데
디즈니에선 볼 수 없는 과감하고 아주 역동적인
초현실적 카메라 워킹이 너무너무 충격(긍정)이었고
로줌 애니메이팅도 환상, 레이아웃은 말해뭐해
진짜 장면장면 감탄하면서 봤다
동생들 멱살잡고 끌고 가서 보여주고 싶음"
3.5,다름을 인정함으로써 달라질 수 있는 운명
4.0,"정서적, 형식적으로 약간 과잉인 부분들이 있지만 그래서 재미가 반감되진 않는다. 오히려 풍부한 설득력으로 로봇과 기러기의 모자관계에 마음이 흔들리게 한다"
5.0,"너답게 날아. 남들처럼 날지 말고.

나 왜 울고 있냐...!!!"
3.0,예측 불가능한 삶의 동화
5.0,물 흐르듯 모성애를 깨닫지만 그럼에도 불구하고 하늘같은 어머님 은혜.
3.5,"첫눈을 맞으며 떠올리겠지
거센 눈보라로부터 숲속 동물들을 지켜준 건 친절과 사랑이었음을"
3.0,응애 나도 엄마
4.0,심하게 평이하지만 때깔은 좋은 감성 자극 무비
4.0,"사랑이란 감정은 우리가 받은 가장 큰 선물같다
그 감정 하나로 불가능도 가능하게 만들고 외롭지 않게 교류를 하고 서로의 부족함을 채워준다"
3.0,수려하고도 아름다운 배경과 이에 화답하는 활기차고도 아련한 이야기
3.5,스포일러가 있어요!! 보기
4.5,내 이름에 숫자가 들어있지 않아 참 다행이야.
3.0,진짜 보면서 질질 짰다
4.5,"Funny, how life works"
3.0,제작된 성품이 장점이 되었다.
4.5,스포일러가 있어요!! 보기
3.5,"우리가 어떻게 프로그래밍 됐는진 중요치 않다
그게 우리라고 속고 있을 뿐"
4.5,스포일러가 있어요!! 보기
3.5,< 아이언 자이언트>와 <드래곤 길들이기>의 장점만을 계승해서 현시대에 맞는 감동으로 진화시켰다. 단지 더 큰 스크린에서 또 보고 싶을 뿐.
3.5,연대의 힘이 무너져가는 세상에서 너무 비현실적으로 느껴져서 별4이 되지 못했다.
3.5,놀라운 도약으로 평범하게 비행하기
3.5,"페드로파스칼 팬이라 봤는데
어디서 많이 본 이야기이긴 했지만 늘 그랬듯 울다나옴 유사가족은 늘 내 눈물버튼인듯"
4.0,홀로서기 그리고 가족 🤖🐣🦊
4.0,"Love, Death, Robots"
3.0,BGM 좋음
3.5,당신의 임무에 대한 제 점수는 사랑입니다.
3.0,월-E + 아바타
3.5,"울어!!!!하는 부분엔 여지없이 울었지만
맥락을 만드는 중반부가 상대적으로 약했다
스토리가 탄탄하지 않은 느낌이 강했다.
감탄해!!!!! 울어!!!!! 이런 부분이 명확해서 우와... 엉엉... 하면서도 영 석연치 않았다.."
5.0,익숙하고 예상가지만 따뜻한 메시지 전달에는 성공.
5.0,너랑 봐서 좋았던
4.5,유치하죠? 하지만 다 큰 어른이 눈물 쏟았죠?
4.0,스포일러가 있어요!! 보기
3.5,"어른들 눈물콧물 쏙 빼는 영화.... 아트워크는 말해뭐해 너무 아름답다.
크리스 샌더스 감독님 제가 정말 너무너무 좋아해요.. 영화 많이 연출해주세요."
4.0,감정을 모르던 존재가 감정을 알아가는 흔한 전개라도 어떻게 빚어내는가에 따라 줄 수 있는 감동은 다른 듯 (아름다운 영상미는 덤)
3.5,추구해야 할 AI의 모습를 통해 그려지는 부모의 사랑과 가족의 본질
4.0,와일드 로봇ㆍ37ㆍ야생의 로즈
보고싶어요,"스카이넷, 넌 틀렸어"
3.5,이것이 바로 드림윅스의 마지막 작품이라고
4.5,진짜를 따라잡은 가짜는 그렇게 되고자 한 의지가 있기에 진짜보다 숭고하다
3.5,"감정이라는 장치로 논리적인 비약이 몇군데 있지만 유사한 동화류 영화에 비하면 많은 부분으로 관객을 현혹해서 스토리 진행을 보완하고 있습니다. 작화와 음악, 액션, 그리고 무거운 가치 여러 개를 순차적으로 부족함 없이 다 다루는 능력은 가히 대단합니다."
4.0,단순하고 뻔한 내용 가지고 이렇게 가슴을 울리게 하는 것고 능력임
4.0,모두들 힘냈구나.
4.0,야생에서 생존하기 위한 본능을 묘사하는 거친 선이 서로를 아끼는 마음을 배우면서 덧씌워지는 따뜻한 색감과 어우러진다.
4.5,But you can call me Rose…☺️
3.0,정석적인 전개로 만들었을때 나올수있는 모든것
5.0,"뭔가 더 있을줄 알았는데 그게 다인 스토리
매우 업그레이드된 아름다운 작화"
3.5,"부모가 된다는 건, 기존과는 다른 시스템(마음)이 생긴다는 것."
5.0,"기적은 서로 다른 것들이 합쳐지면서 일어난다.
누구도 엄마라는 역할이 프로그래밍 되어있지 않은 것처럼"
5.0,"보면서 엉엉 울어버렸다...
영상좋고 감동타이밍좋고
뻔한게 아니라 클래식인거였구나..
인생 애니메이션 영화가 오늘 바뀐듯"
3.5,"아기 두고 혼자 보고왔는데
애를 키우는 내모습 같아서 장면 하나하나가 감동이고 슬펐다."
2.5,자식이 잘 살아가길 바라는 엄마로서 마음은 학습된 기억이 아니라 마음속 깊은 곳에서 빛난다.
4.0,뻔하고 힘없는 이야기를 영상미가 겨우 지탱하다 끝내 무너진다.
4.0,키웠으면 엄마가 맞다.
4.0,"자연의본능
내면의소리
내이름은 삶
삶의본능 영원함은 지금
와일드삶"
4.0,동네의 골치덩이 양아치가 옆집에 이사 온 미혼모를 사랑하게 되어서 간이고 쓸개고 남자의 순정까지 다 바침... 그리고 떠나간 그녀를 영원히 기다림.... 8090 홍콩영화 같음.....
4.0,나만 운게 아니라 다행이다
4.0,올해 최고의 애니메이션!
4.5,진짜뻔하다뻔해🥹🥹🥹🥹🥹😭😭🥹🥹😭🥹
4.0,상투적이라도 잘 만들면 통한다
5.0,"익숙할 수 있는 이야기지만 아름다운 작화와 함께 조금 달라도 연대해서 이겨나갈 수 있음을, 그리고 가족이 되어가는 과정은 서로가 쌓아올려가는 과정임을 느꼈다."
3.5,아름다운 영상미
2.5,해피엔딩의 속도 위반.
4.0,평이 꽤 좋아서 기대를 했는데 비슷한 내용이나 장면들이 덕지덕지 붙어있는 이 느낌이라 실망을 하기도 했지만 같이 보던 꼬마 친구들이 엄청 좋아하더라. 뭐 그럼 된거지😗
3.5,투박한 물수제비가 만드는 뜨거운 파동.
3.5,"탑재된 잠재력의 한계를 넘어서고 본성을 거스르는 이타심을 장착해 만들어낸 서로의 보금자리. 사실은, 아이의 가능성을 열어준 엄마의 눈부신 홀로서기."
4.0,"잔잔한 힐링
2024.10.05
롯데시네마 성서"
3.5,탈수왔다
4.0,상영관에서 내가 제일 많이 운 듯•••
3.5,준게의 저주만 아니었다면 5점일 텐데
4.5,"CGV 서문
1관
17:55~"
4.0,친절함을 잊지 않길 바라는 마음을 양철 로봇에게서
4.0,"뻔하디 뻔한 마당을 나온 암탉의 열화판... 이라고 생각하지만

영화 초반부의 감동이 너무 가시지 않는다.

드래곤 길들이기의 첫 비행장면의 기분을 그대로 느꼈다. 또 드림웍스 너냐...

애들 영화에서 울다니ㅜㅜ
ost와 영상미는 정말 최고였던 것 같다.

내가 아이가 생긴다면 너무나도 보여주고싶을 영화다.

마지막으로! 환경 파괴에 대한 은유의 방식도 너무 최고!"
3.0,캐릭터 잘 뽑았다!
4.0,"나를 알아주지 않으셔도 돼요 찾아오지 않으셔도
다만 꺼지지 않는 작은 불빛이 여기 반짝 살아있어요"
5.0,진부하게 느껴진 내가 많이 녹슨 건지
3.5,"뻔한 장면에 뻔한 메시지,
그런데 그 뻔한 결말에 또 감동하는 영화"
4.0,친절은 결국 세상을 구할거야
2.0,마당 나온 로봇.
1.0,여우 꼬리 폭신폭신
4.0,"메마른 이성을 향한
따듯한 감성의 호소"
3.5,"놀라움은 7분까지였고,
그 이후부터는 기계와 동물의 탈을 쓴
(3천번쯤 만들어진) 헐리웃 휴먼 패밀리 드라마."
5.0,🐤
5.0,스크린엑스관에서 관람했는데 너무 좋았다
3.0,떨어져도 좋아~다음에 더 높이 날면 돼!!!
2.5,완벽할 수 없는 부모와 결핍이 있는 자녀는 사실 우리 모두에 대한 이야기이지 않을까. 판타지로 그려낸 보편적인 특수함의 위대함이란 정말 아름다웠다.
3.0,익숙한 이야기와 낯익은 주제들을 조화롭게 섞다.
2.0,감정없는 로봇과 무리들과 달랐던 새가 비상했을때의 짜릿함
5.0,누굴 너무 사랑하면 걜 닮은 것들도 사랑하게 됨
3.0,뻔하지만 영상미가 아름다워서 잘봄
3.5,친절함이 서로를 구하고 모두를 구해내기까지... 최고였음
4.0,스포일러가 있어요!! 보기
5.0,디즈니픽사가 주춤할 때 드림웍스는 차근차근 나아가고 있다.
5.0,이거 완전히 에에올 로봇버전이잖아 …… Be kind ..로봇이 사람의 감정을 가지는 흔해 빠진 이야기네 뭐 .. 끄흡흑흑흐엉끕끅흐엉흑흑끕 ………
4.5,지금까지 입력된 모든 프롬포트를 잊고 사랑해줘...
3.0,나만 울었냐
3.0,"things only adults noticed in the world robot
https://youtu.be/ywPCjmHc-wI?feature=shared"
3.0,할 말이 너무 많아서 정신 사납네
4.0,드림웍스의 마지막 불꽃
3.5,같이 간 사람 눈물 범벅으로 오열하는 게 웃겨서 난 덜 울 수 있었음 ㅠ
4.0,강철가슴속에 에너지대신 너를품고 부화시킨 대안모성
4.0,"모성애로 빚어진 비행, 그리고 가족애로 빚어진 비행"
3.5,한없이 헌신했던 어제의 존재들을 떠올리며 나도 무한히 다정해지고 싶다.
3.0,"뻔하네 뻔해
ㄴ재미없었다는건가요?
ㄴㄴ아름다운 영화였어...☆"
5.0,"익숙하지만,
""그래 이맛이야"""
4.0,"아기들 보기 딱 좋다

평가와는 별개로
페드로 파스칼이랑 킷 코너 성우 들으려고 예매했는데 애니메이션은 너무 오랜만이라 더빙 자막 구분됨을 잊어버리고 더빙을 예매해버림. 영화 시작하고 그걸 깨달았지만 이미 늦어서 그냥 봐버렸다는... ㅎ"
3.5,심플한 아름다움은 강하다
4.0,또울었다...
2.5,스포일러가 있어요!! 보기
4.5,이렇게 눈물 날 일이냐고 ㅠㅠ
3.5,캐릭터성은 좋았으나 후반부 조금 과하게 느껴진 신파와 뜬금포 어벤져스는 아쉬웠음
3.0,"가장 드림웍스답지 않은 드림웍스의 최고작

마당을 나온 암탉에서 K-신파를 덜어내고 그 자리를 굳이 무언가로 더 채우지 않으려는 절제미가 돋보이는

그 깔끔한 마무리가 보는 사람을 설레게한다"
4.5,후반부가 영 아쉬운데도.
5.0,온전한 드림웍스의 마지막 비행은 아름다웠네
4.0,"더빙판으로 관람하는 게 더 나을
몇 안 되는 외화 애니..
가족의 탄생과 부모의 책임
그리고 관습을 뛰어넘는 따뜻한 마음을 배울 수 있는 교과서 같은 영화"
4.0,ㅠㅠ
3.5,"뻔한 스토리도 이렇게 잘 만드면 감동한다
24년 Best 1 영화 0순위"
4.5,바람직한 PC주의식 이야기 하기
5.0,로봇 영화 중에는 월E 다음으로 좋았다.
5.0,"부모가 된다는것, 어른이 된다는것, 그리고 함께 살아간다는것."
3.5,초딩4 아들은 울지 않은 척 했지만 중간 중간 눈물 닦는 걸 보았다. 50 넘은 아빠는 눈물이 턱까지 흘러도 들키지 않으려고 손을 올리지 않았다. wall.e 이후 오랜만에 정말 감동적인 인생 최고의 로봇 애니메이션. 더 큰 화면에서 혼자서 한번 더 보고 싶다.
4.0,"""넌 그냥 로즈라고 부르면 돼.""

드림웍스 최고의 애니메이션."
4.0,모성애를 느끼기엔 너무 빠르다 빨라
3.5,2024.10.2
4.0,"++재관람후
'로봇', '애니메이션'을 통해 '인간에게' 되묻는 듯 했다.
""사람의 마음은 어디에 있을까요? 심장?... 아니면 뇌?.."" (지뢰진)

+포스터만 봐도 로봇애니메이션, 그 중 최근에 호평받은 그래픽노블 '로봇 드림'과 디즈니의 걸작 '월-E'가 떠올라, (게다가 둘 다 재개봉 중..) 눈만 더 높아져서, 어설프게 나왔으면 더 짜치고 나락갔을 것 같은데 다행히?도 결이 다른 영화긴 했다.. 좋았다.
불쌍하기로는 '월-E'나 '로봇드림' 보다 여기 '로즈'가 제일 불쌍하더라.. (지구 동물들은 일단 낯서니까 개기는데.. '로즈' 얘가 안 봐줬으면 레이저로 지지고, 고무고무 톱날로 다 갈아 버리고 니넨 벌써 다 뒤졌어..)
.
'로봇애니메이션' 중에선 세,네 손가락 안에 들어가지 않을까 싶다. (월-E, 로봇 드림, 밑 '아이언 자이언트'와 비비는 느낌? 주관적임..) (sf, 사이버펑크 '아키라', '공각기동대' 는 원작 만화시리즈가 있으니 제외..)

(스포)

유사가족 형태가 되어가는 모습에 영화 '어느가족'이 떠오르기도 했다. 로봇인 '로즈'를 말하기 전에, 원래 '아기 기러기'를 잡아 먹으려 했던 늑대 '핑크'가 사실 처음엔 이용하려고 했던 것이지만, 함께 지낼수록 유대감이 생기고 기러기 '브라이트 빌'에겐 츤데레 '아버지' 같은 존재가 되어 (로즈에겐 순애..) 모두를 지키는 모습을 보여주었다. ('로즈가 지은 집'에선 리더가 되어, '비무장 지대', 육식, 초식동물 모두가 머무는 '평화의 중립지역'을 만들었다)

그리고 뻔하다고 할 순 있지만.. (근데 다들 기다렸잖아..) '로즈'가 마음 속으로 부르던 '나의 아들'에 말하지 못했던, 하고 싶었던 말이라며 '엄마' 라고 답하는 '브라이트 빌'의 모습은 감동적일 수 밖에 없었다.

+소설원작이니 이것도 그래픽 노블이라 하는게 맞는 걸까.. 그 추구하는 작품성 덕분에 나온 대사였을까, 영화 속에 '아기 쥐'가 하는 기억에 남는 대사가 있다.
""죽는 연습하는 거지?"" - ""뭐?(이 새끼가..)""
""이제 진짜 죽으러 가는 거야?""
.
""죽음이 임박하면 삶이 더 찬란하게 느껴지죠.""
태어난 지 얼마 안 됀 쥐새끼(아기 쥐..)가 하는 대사였다.."
3.5,불효자는 웁니다
4.0,"뻔하지만 감동적임
핑크귀여움"
4.5,2024.10.02
3.5,엄마가되..
5.0,"어쩌면 우린 로봇보다 메말라있던거 아닐까
각 포인트 장면마다 울컥하며 벅차오르게 하는 영화"
3.5,"미친 아트
어떻게 한거지?"
4.0,각자도생의 시대라 할지라도 우리가 잊어서는 안 되는 인간의 도리
5.0,"엄마가 되어가는 과정, 하나가 되어가는 과정이 뭉클했다."
4.5,<트랜스포머 ONE>을 뛰어넘은 2024년 최고의 애니메이션 영화.
4.5,"동물친구들과 함께 하는 야생 로봇
너무 사랑스럽다"
4.0,"""엄마가 되는 법은 프로그래밍되어 있지 않은데요.""
""누구나 그래."""
3.5,로봇이 나옴... 동물들이 나옴... 로봇과 동물이 가족이 됨... 이상한 미친 로봇도 나옴... 드림웍스는 항상 나에게 종합선물세트를 주는구나...
4.0,"미술이 너무나도 아름답다.
여우이름 핑크는 Pink가 아니라 Fink"
3.0,생명의 힘은 위대하다
4.0,뻔한 클리셰도 존나 잘 만들면 아트가 된다
3.5,마당을 나온 로봇.
5.0,프로그래밍된 나를 이겨내도록 하자
2.5,스포일러가 있어요!! 보기
5.0,내가 살다살다 기러기 나는 거 보고 오열을 하다니
3.5,스포일러가 있어요!! 보기
4.0,감동있는 영화……
1.5,스포일러가 있어요!! 보기
3.5,드림웍스 진짜 좋다고요…
4.0,캐릭터성 없는 동물 영화를 그리는 게 더 일이겠다. 노잼.
3.5,"다정한 것이 살아남는다.

+ 페드로 퐉스.칼
49년 연기 인생 중 최고의 앙큼함을 보여주다."
3.0,아이언 자이언트 이후 최고의 로봇
4.5,로즈에게 따뜻한 마음이 있다는 증거
3.5,"시도는 좋았는데 유치해서 아쉽다.

이별과 정을 그려낸 부분은 좋았다.
하지만 뒷부분이 억지스럽고 좀 유치하다."
4.5,어쩌면 뻔했을 법한 이야기를 친절함이라는 무기로 잘 풀어냈다. 모성애를.
5.0,한 인물의 모든 작별과 재회를 고스란히.
3.5,드림웍스란 이름값을 제대로 보여준다.
3.5,예고편보고 오버워치바스티온이네 ㅋㅋ 햇다가 울먹거리면서봄
4.5,"평범한 스토리(⭐️⭐️⭐️)와
그렇지 못한 활강씬(⭐️⭐️⭐️⭐️)
해방감 한놈만 팬다의 좋은 예
도합 3.5"
4.5,스포일러가 있어요!! 보기
4.0,인간이 미안해
3.5,"생각하지도 못했던 모성애와 가족애, 동료애와 사회연대까지."
3.5,"드림웍스의 가장 큰 특징 중 하나인 빠른 속도의 초반 전개를 지나고 나면 특유의 가족애를 강조하는 감동의 이야기가 이어진다. 비슷한 방식을 따르는 영화이지만, 이 작품은 그 힘에 좀 더 섬세하고 강하게 다가가는 듯한 느낌을 준다. 아무런  감정 없는 로봇이 일련의 과정을 겪으며 종을 넘어선 사랑을 얻는 것처럼 실체가 없는 애니메이션을 통해 잊었던 그 뭉클한 감정을 다시 일으키는 작품이었다. 30년을 넘어선 드림웍스의 방향성과 포부를 느낄 수 있었던 작품."
4.5,아름답고 화려한 색채와 화풍에 담은 순리와 모순이 공존하는 삶의 순환
3.5,마당을 나온 로봇
4.5,갬동..ㅠㅠ
3.5,엇갈려있던 이들이 맞물리는 순간순간순간.
4.0,따뜻하고 착한 이야기가 주는 강력한 감동
5.0,"관상은 사이언스
슬픈 얼굴은 둥근 편이야"
4.5,너는 그냥 로즈라고 불러도 돼.
5.0,엉마…..
3.5,"철새 이동하는 모습 보면서 상영관 단체로 오열해 본 적 있어..? 드림웍스가 해냄 이게 드림웍스의 정점이야..

🌟당 장 봐 야 할 사 람
드림웍스 애니메이션 (특히 드길)좋아하는 사람✔️
페드로 파스칼 좋아하는 사람✔️
애니메이터 갈아넣은 아름다운 작화 좋아하는 사람✔️
유사가족 좋아하는 사람 ✔️
아름다운 자연의 영상미 좋아하는 사람✔️
동물 좋아하는 사람 ✔️
로봇 좋아하는 사람✔️
인간이 싫은 사람 ✔️"
4.0,"살아남기 힘든 야생이나 감정이 결여된 문명 속에서도 사랑이 할 수 있는 일은 아직, 있다."
4.5,"품어주고 보듬어준다는 것, 성장과 상생의 자연은 따뜻하다."
2.5,"드림웍스의 저력
드래곤 길들이기 이후 폼 안죽었다"
3.0,소재는 낡았지만 지금은 그 낡은 소재라도 끌어모아 공존을 도모해야 하는 시대
4.5,마당을 나온 로봇
4.0,흥미진진함이 그리 오래 가지 못..
4.5,마당을 나온 암탉도 생각나고 인외존재가 사랑을 배워가는 스토리는 항상 좋은듯
4.0,myownlongmigration
4.0,드림웍스의 마지막 불꽃
5.0,무한정 조건없는 사랑이 자라나기 까지의 조건이란. 또 그런 것을 자아낼 수 있는 애니메이션적 표현이란.
5.0,이렇게 가슴 차가운 짐승이라니!!!
2.5,"픽사 월E 이후로 이렇게 감동받은적은 처음이다
5점 만점에 10점.. 10점이요.."
4.0,"더빙/자막 1번씩 2회차 관람.

인사이드아웃2에 이은 올해 최고의 가족영화. 아동도서인 원작 내용을 유치하지 않게 잘 각색했고 내용도 매우 좋았다."
3.5,"미려한 그래픽, 투박한 스토리"
4.5,"이야기자체는 너무 뻔하지만, 그럼에도 너무나도 소중한 테마
11:52
2024.10.01(화)
강릉 CGV 8관 스크린X F11"
3.5,돌비 맛집 드림윅스
3.0,미슐랭 3스타가 말아주는 국밥
3.5,스포일러가 있어요!! 보기
보는 중,나쁜 로봇 대 착한 로봇(과 자연) 구도 뒤에 숨은 인간들이 너무 비겁함. 그래서 그 프로그래밍은 누가 했고 로봇은 누가 만들었는데...
5.0,무모한 선함으로 죽음을 이기는 연대의 포옹. 색채와 작화로 마음을 맑게 푹 적시는 좋은 이야기.
3.5,24년 9월 25일 소개
3.5,미칠 듯 사랑했던 기러기~~~
4.0,1 가구 1 로즈 시급합니다
4.0,2024 가을 가족영화 추천작 !! 후회없음
3.5,"슬픈 장면이 없는데 왜 눈물이 날까..
현대사회에 필요한 흥미로운 우화
다양한 캐릭터의 개성이 살아있어서 참 좋다"
5.0,"성장 - 관계 - 사회까지
사람과 동떨어진 공간과 캐릭터로 쌓아가는
모든 사람에게 필요한 이야기"
3.0,"야생에 떨어진 로봇 로즈와 아기 기러기 브라이트빌의 이주 생존기...
.
아기 기러기 브라이트빌을 생존시키기 위한 먹기, 수영하기, 날기 프로젝트를 완성하기 위해 로즈가 고분분투하는 모습이 눈물겹게 펼쳐진다.
.
영화적으로 내용도 너무 좋았지만 영상미가 너무 훌륭했던..
.
특히나 로즈가 정말 마음으로 아기기러기를 돌보고 있다는 느낌이 들게 하는 연출이 너무 좋았다.
.
말그대로 야생로봇으로서 야생동물들과 하나가 되는 모습도 너무 감동적이면서 뭉클했고, 동물들을 위해 자신이 떠나야 한다는 말을 할때는 안타까우면서도 따뜻했다.
.
영화가 물론 로봇의 이야기이긴 하지만 모성애라는것이 정말 무엇인지 알려주는 듯한 느낌이었고, 그랬기에 마지막에 브라이트빌과 로즈의 재회 모습은 정말 감동적일 수 밖에 없었다.
.
로봇의 존재가 프로그래밍 되어 있는대로가 아닌 스스로 자신이 원하는 방향대로 움직인다는 것의 순기능은 이런것이겠지.
.
브라이트빌이 처음 장거리 비행을 하기 위해 무리와 떠날때 절벽끝의 나무를 붙잡고 그의 비행을 바라보던 로즈의 모습을 잊을수가 없다.
."
2.0,별기대 안하고 봤는데 진짜 재밌고 감동적으로 봤습니다.
4.0,공장을 나온 로즈가 만든 주토피아
4.0,7세 미만 관람가
3.5,생각없이 봤는데 슬프다.  그리고 왠지 마당을 나온  암탉이 생각났다.(시사회 24.9.22)
3.0,"시선 신경 쓰지 말고 너의 스타일대로 날아.

이제는 진부하긴 해도 항상 마음을 울리는 메시지.
드림웍스의 마지막 불꽃으로는 아쉬웠지만 그래도 화려한 그래픽과 캐릭터들로 여전히 심금을 울려주었다."
2.0,"예상가능함에도 따뜻한 이야기는 감동을 준다.
240922"
3.5,"서로를 헐뜯고, 친절함을 잊어가는 현대사회에 드림웍스가 던지는 메시지.

ㄴ 롯데시네마 회원시사회 (더빙)"
3.0,더빙으로 봐서일까 성인용이라고 느껴지지 않았다 (이게 좀 아쉽긴 함...)초반 분위기는 너무 좋아서 기대감이 올라갔는데 내용이 진행될수록 모든게 예상가능한 전개가 지루하게 느껴짐 그리고 전체적으로 유치했다
3.0,다소 익숙할수도 있는 주제를 풀어내는 매력적인 작화와 표현 기술들
3.0,"""한 아이를 키우기 위해 온 마을이 필요하다""
현대사회에서 잊혀져가는 관념을 담은 영화"
5.0,서로 달라도 돕고사는 가족애의 중요함을 다시한번 더
5.0,마당을 나온 이브
5.0,애기들이랑 같이 보러가서 어른들이 울고나오는 영화
3.5,2024 로즈 7136 렛츠고
보고싶어요,엄마보고싶다
보고싶어요,"아름다운 애니메이션과 상징적인 음악, 그리고 다소 진부하지만 따뜻한 사랑의 메시지가 담긴 이 영화는 캐릭터 간의 갈등이 부족함에도 불구하고 가족들이 함께 즐기기에 시각적으로 매력적인 작품."
4.0,느낌이 온다 오백배 기대중
보고싶어요,"영화를 끝까지 이끌었던 힘은 친절이라는 힘

https://m.dcinside.com/board/commercial_movie/1151976

https://m.dcinside.com/board/commercial_movie/1175571

https://m.dcinside.com/board/commercial_movie/1192984"
보고싶어요,무수한 시공간을 불문하고 사랑 없이는 살아갈 수 없음을
3.0,스티치 감독
